analysis,outcome,exposure,term,k,coef,se,odds_ratio,ci_low,ci_high,q,tau2,i2_pct,status,omitted_cohort
exposure_history,next_healthy_aging_binary,internet_use,adopted,3,0.24882511902276522,0.03699869780486829,1.2825177255036628,1.1928049940932837,1.378977891923927,2.406969517092864,0.0008284431573890254,16.90796307152247,ok,CHARLS
exposure_history,next_healthy_aging_binary,internet_use,adopted,3,0.23386388852182158,0.03935103544893587,1.2634725073928705,1.1696866109504578,1.364778191006618,3.1529897639646047,0.0017587277909585004,36.5681416775303,ok,ELSA
exposure_history,next_healthy_aging_binary,internet_use,adopted,3,0.18022859016899803,0.044823759806430274,1.197491066522935,1.0967749621870728,1.3074558627256911,2.1058718558352707,0.0003363711526671845,5.027459555143625,ok,HRS
exposure_history,next_healthy_aging_binary,internet_use,adopted,3,0.19251393487263477,0.06359231999228021,1.212293396743822,1.0702293675392782,1.3732152418577102,4.838910580996385,0.006954747000664167,58.66838275841464,ok,SHARE
exposure_history,next_healthy_aging_binary,internet_use,persistent,3,0.4572577702407416,0.07503839481296164,1.5797360407102992,1.3636739842964352,1.8300312149803146,27.258200039201316,0.01513384717913958,92.66275837317319,ok,CHARLS
exposure_history,next_healthy_aging_binary,internet_use,persistent,3,0.4695446647828521,0.07152766632226,1.5992658253523107,1.3900649029067849,1.8399509078975134,20.364989130529842,0.012481131104650128,90.17922382781077,ok,ELSA
exposure_history,next_healthy_aging_binary,internet_use,persistent,3,0.3744695642791516,0.1438109473768122,1.4542198398518598,1.0970229562020661,1.9277220505395163,32.42822589455788,0.05714381993575572,93.83253340314359,ok,HRS
exposure_history,next_healthy_aging_binary,internet_use,persistent,3,0.3343812725537382,0.09145336760843312,1.397075708665036,1.1678128869471958,1.671346974808788,14.528054841856136,0.020770092460686687,86.2335321433542,ok,SHARE
exposure_history,next_healthy_aging_binary,internet_use,stopped,3,0.07024788916963724,0.11178181662524525,1.0727740773717191,0.8617031239444,1.3355460704526811,13.136692221129973,0.029741557165784676,84.77546732210823,ok,CHARLS
exposure_history,next_healthy_aging_binary,internet_use,stopped,3,0.194637035017899,0.03257814406745294,1.2148699512042966,1.1397214297140366,1.294973455671045,0.6124036500865265,0.0,0.0,ok,ELSA
exposure_history,next_healthy_aging_binary,internet_use,stopped,3,0.0034769599263806314,0.16129546441803128,1.0034830115632791,0.7314970068463753,1.3765991454119344,11.563421418324326,0.06370102719547777,82.70408101852415,ok,HRS
exposure_history,next_healthy_aging_binary,internet_use,stopped,3,0.004084597383069522,0.1561240729697654,1.0040929507204281,0.7393982600769738,1.3635448013922817,13.064470012666922,0.060474564353860644,84.69130398660751,ok,SHARE
exposure_history,next_healthy_aging_binary,social_participation,adopted,4,0.2149039676953748,0.07393769796010442,1.2397428358876257,1.072493251715597,1.4330740978333565,18.477124400272334,0.017732163918074206,83.76370730092728,ok,CHARLS
exposure_history,next_healthy_aging_binary,social_participation,adopted,4,0.22633679341280874,0.07775208149224211,1.2539979324091126,1.076745120972468,1.4604299419217313,32.86375694189349,0.021470712966443598,90.87140278786656,ok,ELSA
exposure_history,next_healthy_aging_binary,social_participation,adopted,4,0.13583097940719518,0.08739860166334831,1.1454882661260164,0.9651514182458106,1.3595207373960494,35.53927208637196,0.026909738806817202,91.55863408595137,ok,KLoSA
exposure_history,next_healthy_aging_binary,social_participation,adopted,4,0.17307452254606057,0.09034137806056398,1.1889547057144394,0.9960133892631098,1.4192713747416152,41.943095911552525,0.029429822754729072,92.84745216155181,ok,MHAS
exposure_history,next_healthy_aging_binary,social_participation,adopted,4,0.13749224841632274,0.08228765352848998,1.147392811826209,0.9764892352853218,1.3482076576561346,22.119770339787543,0.02283172583323134,86.43747220736824,ok,SHARE
exposure_history,next_healthy_aging_binary,social_participation,persistent,4,0.31894812475081996,0.13565226544093367,1.37567995931432,1.0545031250679977,1.7946796984001492,107.951540993576,0.07093590114941951,97.22097528910817,ok,CHARLS
exposure_history,next_healthy_aging_binary,social_participation,persistent,4,0.35402103299272425,0.13297709892645151,1.424785153660508,1.097885348444766,1.8490206987159974,160.72059877884678,0.06889207866614001,98.13340665552893,ok,ELSA
exposure_history,next_healthy_aging_binary,social_participation,persistent,4,0.2024648436558242,0.1475783315222038,1.224417038338421,0.9168708226877698,1.6351235601309622,166.66822771588508,0.08467554648620482,98.20001685917366,ok,KLoSA
exposure_history,next_healthy_aging_binary,social_participation,persistent,4,0.3187536878112618,0.14225776886367864,1.3754125023158221,1.040736318125566,1.8177126315086745,183.4110676418809,0.07907877334963136,98.36432989646097,ok,MHAS
exposure_history,next_healthy_aging_binary,social_participation,persistent,4,0.20747704865834785,0.13540027527365484,1.2305694732955716,0.9437372477028697,1.6045792748912566,100.6087230570406,0.07060737434861279,97.0181512011646,ok,SHARE
exposure_history,next_healthy_aging_binary,social_participation,stopped,4,0.20201563836259168,0.07598124220599976,1.223867147239918,1.0545270827571842,1.420400498559856,19.342058865956822,0.018943647370881406,84.4897587129146,ok,CHARLS
exposure_history,next_healthy_aging_binary,social_participation,stopped,4,0.1940700533268172,0.08878972894962409,1.2141813374190698,1.0202443777052235,1.4449835278217122,43.022217641941666,0.028714165377511168,93.02685876174976,ok,ELSA
exposure_history,next_healthy_aging_binary,social_participation,stopped,4,0.1195620672067017,0.09216933056119563,1.1270031918365133,0.9407387381754481,1.3501476476594376,40.63921185076113,0.030383401351447084,92.61796707323738,ok,KLoSA
exposure_history,next_healthy_aging_binary,social_participation,stopped,4,0.18188069779859173,0.0924931396426366,1.199471085802422,1.0005943206375907,1.437876326101136,44.96132493530831,0.0310855271154532,93.32759876556909,ok,MHAS
exposure_history,next_healthy_aging_binary,social_participation,stopped,4,0.11747879755756345,0.07760234358600383,1.1246577841990095,0.9659706812809921,1.3094135837353547,19.572856004346512,0.019872716468406458,84.67265073970914,ok,SHARE
