analysis,cohort,outcome,exposure,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
ipw_attrition,CHARLS,next_healthy_aging_binary,internet_use,45545,20646,internet_use,internet_use,18910,0.32709665530652454,0.04461094140409636,1.3869355253802982,1.2708159953314724,1.5136653603893189,2.2639310437936236e-13,clustered_by_person,True,ok
ipw_attrition,ELSA,next_healthy_aging_binary,internet_use,20852,8778,internet_use,internet_use,14329,0.380025020036748,0.04744354180625646,1.4623211763060888,1.3324717526833727,1.604824431262337,1.1466421463382053e-15,clustered_by_person,True,ok
ipw_attrition,HRS,next_healthy_aging_binary,internet_use,141513,29637,internet_use,internet_use,74343,0.41848720391553507,0.0176096002510347,1.5196608788027952,1.46810490296337,1.573027364667349,7.740317331599041e-125,clustered_by_person,True,ok
ipw_attrition,SHARE,next_healthy_aging_binary,internet_use,93582,58425,internet_use,internet_use,52117,0.4707976548690275,0.019154253596070356,1.6012709455121432,1.5422699394367025,1.6625290912937403,2.10456589300363e-133,clustered_by_person,True,ok
ipw_attrition,CHARLS,next_healthy_aging_binary,social_participation,60334,21038,social_participation,social_participation,24997,0.0970226591209881,0.019988944296084644,1.1018853410913978,1.0595500409158214,1.1459121872740012,1.2110806741027573e-06,clustered_by_person,True,ok
ipw_attrition,ELSA,next_healthy_aging_binary,social_participation,27996,9840,social_participation,social_participation,19327,0.03451183123172914,0.045203524847218145,1.0351142749805213,0.9473496101039277,1.1310096619461396,0.4451792418113023,clustered_by_person,True,ok
ipw_attrition,HRS,next_healthy_aging_binary,social_participation,36950,19136,social_participation,social_participation,18634,0.08842066933729248,0.029638096137098797,1.0924475845819506,1.0307946410007014,1.157788057474123,0.0028511630117451082,clustered_by_person,True,ok
ipw_attrition,KLoSA,next_healthy_aging_binary,social_participation,33197,8374,social_participation,social_participation,13599,0.3994322859334514,0.030837398894113865,1.4909780081371062,1.4035306910647114,1.5838737513193417,2.263824000625545e-38,clustered_by_person,True,ok
ipw_attrition,MHAS,next_healthy_aging_binary,social_participation,23097,13499,social_participation,social_participation,15027,0.13587747859488686,0.03455823264315024,1.1455415316382935,1.0705187484373406,1.225821969604689,8.429778886957604e-05,clustered_by_person,True,ok
ipw_attrition,SHARE,next_healthy_aging_binary,social_participation,135003,69054,social_participation,social_participation,75652,0.39997157437135,0.015975884696303358,1.491782292189108,1.4457942728831332,1.5392331046181105,2.482978643026931e-138,clustered_by_person,True,ok
