analysis,domain,outcome,exposure,term,k,coef,se,odds_ratio,ci_low,ci_high,q,tau2,i2_pct,status,omitted_cohort
domain_outcome,cognition_not_low,next_cognition_not_low,internet_use,internet_use,3,0.8326729651659391,0.07172176808490716,2.299456901261938,1.9979033380856273,2.6465254549439767,23.924516873500625,0.013753706144063746,91.64037455562897,ok,CHARLS
domain_outcome,cognition_not_low,next_cognition_not_low,internet_use,internet_use,3,0.986863861557839,0.06501971748386931,2.6828076092750472,2.3618027753632287,3.047441870872209,13.486291013571408,0.008871941932809114,85.17012573740715,ok,ELSA
domain_outcome,cognition_not_low,next_cognition_not_low,internet_use,internet_use,3,0.9397404259432629,0.1455123828971808,2.559316999803981,1.9242497576070512,3.4039778254311406,30.12939874304041,0.055386235265700204,93.36196511235731,ok,HRS
domain_outcome,cognition_not_low,next_cognition_not_low,internet_use,internet_use,3,0.9696479541925176,0.15920953509938307,2.6370159455161573,1.9301491223489071,3.602754324206793,35.952443011527045,0.0676589551991059,94.4370956951138,ok,SHARE
domain_outcome,cognition_not_low,next_cognition_not_low,social_participation,social_participation,5,0.3059119766241353,0.09930477765119197,1.3578627776216525,1.117701799518981,1.6496272294129717,111.96454483129483,0.04695541689515954,96.42744048481858,ok,CHARLS
domain_outcome,cognition_not_low,next_cognition_not_low,social_participation,social_participation,5,0.3489866980097443,0.07612674035894114,1.4176303329116913,1.2211319871937498,1.6457481925518087,96.64623426744399,0.027244702684537395,95.86119414758467,ok,ELSA
domain_outcome,cognition_not_low,next_cognition_not_low,social_participation,social_participation,5,0.33800527042418155,0.07777917793672252,1.4021478933000096,1.2038901216911277,1.6330549435225452,91.93554633310623,0.028185883478486808,95.6491257630569,ok,HRS
domain_outcome,cognition_not_low,next_cognition_not_low,social_participation,social_participation,5,0.2430421165760665,0.07920381278615937,1.2751223267740353,1.0917726323558257,1.4892633319899078,106.26198942377066,0.029720917443545887,96.23571888528448,ok,KLoSA
domain_outcome,cognition_not_low,next_cognition_not_low,social_participation,social_participation,5,0.30202489461194454,0.09040331251699472,1.3525948986154752,1.1329608215745217,1.6148069067543387,121.60973907358857,0.03873184183617726,96.71078975214353,ok,MHAS
domain_outcome,cognition_not_low,next_cognition_not_low,social_participation,social_participation,5,0.25819143973011427,0.07143000530354834,1.294586630218087,1.1254563854358905,1.4891332661374728,54.46481967091375,0.023162262888435207,92.6558097058455,ok,SHARE
domain_outcome,good_self_rated_health,next_good_srh,internet_use,internet_use,3,0.43889859443252927,0.033935450180845574,1.5509979995806258,1.4511917451615557,1.6576684664336325,11.995825765013981,0.0027021874298876532,83.32753376734571,ok,CHARLS
domain_outcome,good_self_rated_health,next_good_srh,internet_use,internet_use,3,0.38488257568277834,0.06365386767951728,1.46944176311434,1.2970870182554946,1.664698717044178,44.408072203004735,0.011331019760932206,95.4963142942632,ok,ELSA
domain_outcome,good_self_rated_health,next_good_srh,internet_use,internet_use,3,0.3236798057789884,0.09814152940551736,1.382204662311979,1.1403353754632717,1.6753753059189438,46.22927555321201,0.027458572803992255,95.67373709393758,ok,HRS
domain_outcome,good_self_rated_health,next_good_srh,internet_use,internet_use,3,0.32518663273307546,0.0999371690849749,1.3842889755084942,1.138042613916122,1.6838174109494208,48.23100537030825,0.028528970180302763,95.85328983991856,ok,SHARE
