analysis,definition,cohort,outcome,exposure,n,people,term,term_raw,events,coef,se,odds_ratio,ci_low,ci_high,p_value,covariance,weighted,status
alternative_definition,strict_all_available_components,CHARLS,next_healthy_strict_binary,internet_use,41823,19704,internet_use,internet_use,5422,0.20206383384304272,0.05695151253286323,1.2239261335265121,1.0946545885716124,1.3684638021605104,0.00038817165338548654,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,ELSA,next_healthy_strict_binary,internet_use,20706,8737,internet_use,internet_use,8136,0.2827918273740711,0.052545290238208864,1.3268289236043525,1.1969816045631723,1.4707619447130555,7.371672720071249e-08,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,HRS,next_healthy_strict_binary,internet_use,110856,25662,internet_use,internet_use,28926,0.30149251787484715,0.02382501852745331,1.351875000202323,1.2901977246633898,1.4165007279398507,1.0571261490878982e-36,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,SHARE,next_healthy_strict_binary,internet_use,88658,55320,internet_use,internet_use,26504,0.3038491759617291,0.022683223923459384,1.3550646643516697,1.2961392745306255,1.4166689341617642,6.439280102686475e-41,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,CHARLS,next_healthy_strict_binary,social_participation,55778,20078,social_participation,social_participation,7172,0.12306732255370569,0.02831194985406057,1.1309605575374795,1.069911463694683,1.1954931095779822,1.3811719415007408e-05,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,ELSA,next_healthy_strict_binary,social_participation,27773,9794,social_participation,social_participation,11123,-0.0030772063410320783,0.0447352717847072,0.9969275234056879,0.9132383782989126,1.0882859399481961,0.945159144707463,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,HRS,next_healthy_strict_binary,social_participation,26190,16754,social_participation,social_participation,6554,0.03260039651595115,0.04680984683366812,1.03313761135409,0.9425682926140597,1.1324095371744882,0.48615135700233547,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,KLoSA,next_healthy_strict_binary,social_participation,6212,6212,social_participation,social_participation,1727,0.4085162655959977,0.08254322453709456,1.5045837255099166,1.2798354890645827,1.7687993546138228,7.455004352150362e-07,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,MHAS,next_healthy_strict_binary,social_participation,23028,13461,social_participation,social_participation,6753,0.07908531646504874,0.03439009956919373,1.0822966558562743,1.0117492073301948,1.15776325080469,0.021467852527277488,clustered_by_person,False,ok
alternative_definition,strict_all_available_components,SHARE,next_healthy_strict_binary,social_participation,129309,66201,social_participation,social_participation,39536,0.24984750227794247,0.016852051763182052,1.2838296206662356,1.242117371205581,1.3269426328852272,9.957669386752545e-50,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,CHARLS,next_healthy_lenient_binary,internet_use,45545,20646,internet_use,internet_use,31737,0.391600477211802,0.05871604828131909,1.4793465606584295,1.318529397299423,1.6597781217576821,2.5686131259467678e-11,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,ELSA,next_healthy_lenient_binary,internet_use,20852,8778,internet_use,internet_use,17592,0.33558918452377284,0.053661066224587925,1.3987642727496536,1.2591205420038987,1.5538952987035055,4.004114090808438e-10,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,HRS,next_healthy_lenient_binary,internet_use,141513,29637,internet_use,internet_use,106913,0.47722573479256863,0.019535361460592232,1.6115971965557672,1.551056677887574,1.674500720040525,8.452844461216022e-132,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,SHARE,next_healthy_lenient_binary,internet_use,93582,58425,internet_use,internet_use,70963,0.5722726826519219,0.02177450666352571,1.772290331373039,1.698243785269126,1.8495654427968895,3.0986874352335848e-152,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,CHARLS,next_healthy_lenient_binary,social_participation,60334,21038,social_participation,social_participation,42070,0.11412717379563059,0.02113111312312915,1.1208946642492796,1.0754188268493907,1.1682935215327608,6.630484761541028e-08,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,ELSA,next_healthy_lenient_binary,social_participation,27996,9840,social_participation,social_participation,23663,0.11714575572744129,0.05499891502185875,1.1242832884771305,1.0093917101958032,1.252252123710978,0.03317451551278678,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,HRS,next_healthy_lenient_binary,social_participation,36950,19136,social_participation,social_participation,28145,0.17487452344347812,0.03176341991055555,1.191096752516444,1.1192045619240711,1.26760694346729,3.680551803597191e-08,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,KLoSA,next_healthy_lenient_binary,social_participation,33197,8374,social_participation,social_participation,23602,0.39684995405705475,0.032093940365398664,1.4871327750704553,1.3964674961952803,1.5836844729392048,4.028997513409519e-35,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,MHAS,next_healthy_lenient_binary,social_participation,23097,13499,social_participation,social_participation,20065,0.10763482105796181,0.045717114117059615,1.113640992882672,1.0181927859792066,1.2180367786008168,0.01855432993609397,clustered_by_person,False,ok
alternative_definition,lenient_60pct_threshold,SHARE,next_healthy_lenient_binary,social_participation,135003,69054,social_participation,social_participation,102723,0.546809646492861,0.019379570134333154,1.727732139482729,1.6633367730008597,1.7946205448317984,3.7449396654436924e-175,clustered_by_person,False,ok
alternative_definition,without_cognition_component,CHARLS,next_healthy_no_cognition_binary,internet_use,46406,21010,internet_use,internet_use,21216,0.2881435853239574,0.044196422829984074,1.333948825847503,1.223258985281431,1.454654730838169,7.048888677265232e-11,clustered_by_person,False,ok
alternative_definition,without_cognition_component,ELSA,next_healthy_no_cognition_binary,internet_use,20852,8778,internet_use,internet_use,14768,0.36838549894796524,0.04538159559118846,1.4453991314322587,1.3223858557706152,1.5798555618455759,4.758505383409937e-16,clustered_by_person,False,ok
alternative_definition,without_cognition_component,HRS,next_healthy_no_cognition_binary,internet_use,149164,30675,internet_use,internet_use,91838,0.4368975832333752,0.016826498488674048,1.5478975382770273,1.497680602183848,1.5997982383629492,1.235837442837723e-148,clustered_by_person,False,ok
alternative_definition,without_cognition_component,SHARE,next_healthy_no_cognition_binary,internet_use,93657,58463,internet_use,internet_use,55766,0.43475480254013604,0.018792043918989584,1.5445842843728799,1.4887284948214596,1.6025357342393038,2.0562050507518055e-118,clustered_by_person,False,ok
alternative_definition,without_cognition_component,CHARLS,next_healthy_no_cognition_binary,social_participation,61339,21389,social_participation,social_participation,28052,0.06831185999372684,0.019417660270906394,1.0706991646526482,1.0307155253470934,1.112233854051854,0.00043476754349318835,clustered_by_person,False,ok
alternative_definition,without_cognition_component,ELSA,next_healthy_no_cognition_binary,social_participation,27996,9840,social_participation,social_participation,19895,0.02936951928963922,0.044614631639991416,1.029805057009812,0.9435790265753387,1.123910584672484,0.510349593132811,clustered_by_person,False,ok
alternative_definition,without_cognition_component,HRS,next_healthy_no_cognition_binary,social_participation,38355,19905,social_participation,social_participation,24410,0.14274544337165446,0.02838464091014484,1.153436149474818,1.0910183729621918,1.219424882188853,4.931273459067603e-07,clustered_by_person,False,ok
alternative_definition,without_cognition_component,KLoSA,next_healthy_no_cognition_binary,social_participation,34113,8492,social_participation,social_participation,19267,0.3533046192338047,0.029868212048945218,1.4237647835201672,1.3428079728907862,1.509602415026097,2.7712834970003284e-32,clustered_by_person,False,ok
alternative_definition,without_cognition_component,MHAS,next_healthy_no_cognition_binary,social_participation,23097,13499,social_participation,social_participation,16594,0.09889782340333414,0.03560533337122215,1.1039534955849608,1.0295392478721865,1.1837463437484732,0.005475985930914672,clustered_by_person,False,ok
alternative_definition,without_cognition_component,SHARE,next_healthy_no_cognition_binary,social_participation,135103,69107,social_participation,social_participation,80965,0.3995008533566979,0.015913463931486186,1.4910802441622315,1.4452906801262033,1.5383205088797494,4.432207707795804e-139,clustered_by_person,False,ok
